+0.12,-0.02,+1.41
+0.23,-0.02,+1.52
+0.53,-0.02,+1.45
+0.33,-0.02,+1.44
-0.19,-0.03,+1.45
+0.12,-0.02,+1.39
+0.50,-0.02,+1.28
-0.11,-0.03,+1.45
-0.17,-0.03,+1.25
+0.30,-0.02,+1.08
-0.02,-0.03,+1.25
-0.42,-0.03,+1.38
+0.39,-0.02,+1.11
-0.28,-0.03,+1.31
+0.25,-0.02,+0.94
+0.72,-0.02,+1.11
+0.20,-0.02,+1.25
+0.14,-0.02,+1.05
+0.66,-0.02,+1.14
+0.30,-0.02,+1.08
-0.30,-0.03,+1.19
+0.23,-0.02,+1.14
+0.34,-0.02,+1.25
-0.03,-0.03,+1.36
+0.17,-0.02,+1.23
+0.56,-0.02,+1.19
+0.17,-0.02,+1.45
-0.39,-0.03,+1.34
+0.23,-0.02,+1.33
+0.44,-0.02,+1.25
-0.23,-0.03,+1.41
-0.45,-0.03,+1.14
