-0.11,+0.02,-1.25
-0.20,+0.20,-0.86
-0.11,-0.12,-0.50
-0.12,-0.31,-1.78
-0.39,+0.55,-1.06
+0.03,-0.16,-0.23
-0.03,-0.41,-1.33
-0.02,-0.19,-1.08
-0.02,-0.19,-0.28
-0.08,-0.41,-1.59
-0.62,+0.31,-1.08
-0.05,+0.03,-0.48
+0.05,-0.42,-1.41
-0.12,+0.17,-1.30
+0.53,+0.02,-0.28
+0.12,-0.30,-1.00
+0.09,-0.09,-1.25
+0.20,+0.56,-0.89
-0.22,-0.59,-0.53
-0.03,-0.20,-1.81
-0.27,+1.17,-0.59
-0.31,-0.39,-0.42
+0.02,-0.28,-1.50
-0.83,+0.75,-0.91
-0.33,-0.33,-0.50
-0.22,-0.28,-1.45
-0.45,+0.61,-0.91
-0.47,-0.22,-0.19
-0.14,-0.39,-1.53
+0.16,+0.20,-1.05
+0.45,-0.06,-0.38
-0.16,-0.58,-1.11
-0.23,+0.08,-1.20
+0.17,+0.09,-0.95
