+0.00,+0.05,-1.06
-0.28,-0.06,-1.38
-0.28,-0.06,-0.09
+0.05,-0.08,-0.53
+0.30,+0.03,-1.33
-0.77,+0.17,+0.28
+0.08,+0.23,-1.98
-0.08,-0.12,-0.52
+0.17,-0.06,+0.28
-0.14,+0.38,-1.98
-1.20,+0.42,-0.08
+0.47,-0.12,-0.31
+0.05,+0.05,-1.50
-0.84,+0.17,+0.22
+0.06,+0.19,-1.98
+0.83,+0.03,-0.59
-0.06,+0.08,+0.16
-0.14,+0.25,-1.98
-1.42,+0.31,+0.05
+0.48,-0.19,-0.92
-0.48,+0.19,-1.27
-0.48,+0.19,+0.31
-0.05,+0.27,-1.98
-0.28,+0.47,-0.27
+0.14,-0.16,+0.00
+0.03,+0.27,-1.81
-1.58,+0.02,+0.08
+0.27,+0.14,-1.89
+0.59,-0.11,-0.89
-0.19,+0.20,-0.95
