+0.88,-0.97,-1.17
+1.28,+0.33,+0.00
+0.19,-0.42,+0.09
+1.31,-1.56,-0.08
+0.80,-0.59,+1.47
-1.44,-0.34,+1.77
-1.42,+0.12,+1.72
+0.00,-2.00,+0.00
-1.09,-0.84,-1.19
-0.31,+1.83,-1.19
-1.05,+1.91,-0.28
-0.34,-1.28,+1.50
-1.03,-0.52,-1.83
-1.89,+1.67,+1.67
-1.53,-1.41,-0.67
+1.72,-0.91,+0.00
+1.89,-0.89,-0.44
+1.55,+0.39,+0.56
+1.70,+1.86,+1.36
+0.20,-0.86,+1.12
-0.45,+1.00,+0.00
-0.02,+1.98,-0.50
+0.00,-2.00,+1.78
+0.12,+0.14,+1.95
+0.33,+0.09,-1.69
-0.22,-1.08,-1.42
+0.59,+0.14,+0.84
+0.28,-1.42,-0.17
+1.95,-0.08,-1.30
