-0.06,+0.02,+1.33
+0.05,+0.03,+1.55
+0.44,+0.03,+1.91
+0.39,+0.03,+1.80
-0.30,+0.02,+1.55
+0.16,+0.03,+1.50
-0.25,+0.02,+1.28
-0.67,+0.02,+1.59
-0.11,+0.02,+1.53
-0.17,+0.02,+1.30
-0.72,+0.02,+1.36
-0.14,+0.02,+1.38
+0.19,+0.03,+1.34
-0.50,+0.02,+1.61
-0.25,+0.02,+1.95
+0.27,+0.03,+1.67
-0.30,+0.02,+1.55
-0.33,+0.02,-1.69
+0.08,+0.03,+1.61
+0.00,+0.03,+1.80
-0.75,+0.02,+1.77
-0.38,+0.02,+1.78
-0.05,+0.02,+1.36
-0.39,+0.02,+1.45
-0.27,+0.02,+1.92
+0.12,+0.03,+1.33
+0.03,+0.03,+1.45
-0.61,+0.02,+1.91
-0.11,+0.02,+1.56
+0.11,+0.03,+1.50
-0.48,+0.02,+1.48
-0.66,+0.02,+1.48
